timestamp,hour,node_id,city,latitude,longitude,irradiance_Wm2,air_temp_C,P_max_W,P_reported_W,fdia_detected,verification_status
2026-05-01T00:00:00+08:00,0,BEI-001,Beijing,39.887642,116.38095,0.0,20.0,0.0,0.0,False,verified
2026-05-01T01:00:00+08:00,1,BEI-001,Beijing,39.887642,116.38095,0.0,19.1,0.0,0.0,False,verified
2026-05-01T02:00:00+08:00,2,BEI-001,Beijing,39.887642,116.38095,0.0,18.2,0.0,963.02,True,rejected
2026-05-01T03:00:00+08:00,3,BEI-001,Beijing,39.887642,116.38095,0.0,17.7,0.0,0.0,False,verified
2026-05-01T04:00:00+08:00,4,BEI-001,Beijing,39.887642,116.38095,0.0,17.4,0.0,0.0,False,verified
2026-05-01T05:00:00+08:00,5,BEI-001,Beijing,39.887642,116.38095,0.0,16.5,0.0,0.0,False,verified
2026-05-01T06:00:00+08:00,6,BEI-001,Beijing,39.887642,116.38095,15.0,15.6,138.51,134.8,False,verified
2026-05-01T07:00:00+08:00,7,BEI-001,Beijing,39.887642,116.38095,99.0,16.0,912.86,880.11,False,verified
2026-05-01T08:00:00+08:00,8,BEI-001,Beijing,39.887642,116.38095,252.0,18.3,2304.05,2227.29,False,verified
2026-05-01T09:00:00+08:00,9,BEI-001,Beijing,39.887642,116.38095,429.0,20.6,3889.03,3775.65,False,verified
2026-05-01T10:00:00+08:00,10,BEI-001,Beijing,39.887642,116.38095,584.0,23.0,5246.79,5122.38,False,verified
2026-05-01T11:00:00+08:00,11,BEI-001,Beijing,39.887642,116.38095,700.0,24.5,6253.48,5974.3,False,verified
2026-05-01T12:00:00+08:00,12,BEI-001,Beijing,39.887642,116.38095,763.0,25.5,6790.51,6600.72,False,verified
2026-05-01T13:00:00+08:00,13,BEI-001,Beijing,39.887642,116.38095,745.0,26.5,6605.14,10237.97,True,rejected
2026-05-01T14:00:00+08:00,14,BEI-001,Beijing,39.887642,116.38095,685.0,26.5,6073.18,6006.9,False,verified
2026-05-01T15:00:00+08:00,15,BEI-001,Beijing,39.887642,116.38095,527.0,27.0,4663.45,4682.14,False,verified
2026-05-01T16:00:00+08:00,16,BEI-001,Beijing,39.887642,116.38095,348.0,26.6,3084.18,3031.8,False,verified
2026-05-01T17:00:00+08:00,17,BEI-001,Beijing,39.887642,116.38095,220.0,26.1,1953.48,1893.71,False,verified
2026-05-01T18:00:00+08:00,18,BEI-001,Beijing,39.887642,116.38095,132.63,24.2,1186.21,1165.21,False,verified
2026-05-01T19:00:00+08:00,19,BEI-001,Beijing,39.887642,116.38095,0.63,22.9,5.63,5.39,False,verified
2026-05-01T20:00:00+08:00,20,BEI-001,Beijing,39.887642,116.38095,0.0,21.8,0.0,0.0,False,verified
2026-05-01T21:00:00+08:00,21,BEI-001,Beijing,39.887642,116.38095,0.0,21.0,0.0,0.0,False,verified
2026-05-01T22:00:00+08:00,22,BEI-001,Beijing,39.887642,116.38095,0.0,20.3,0.0,0.0,False,verified
2026-05-01T23:00:00+08:00,23,BEI-001,Beijing,39.887642,116.38095,0.0,19.6,0.0,0.0,False,verified
